playerId,2022,2021,2020,2019,2018,2017,2016,2015,2014
9244,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7990,0.0,20.0,0.0,10.0,10.0,3.0,3.0,0.0,0.0
10484,2.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0
11893,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9443,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,0.0,32.0,0.0,20.0,20.0,28.0,28.0,28.0,28.0
8846,6.0,2.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0
15861,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8118,7.5,0.0,22.0,22.0,5.0,5.0,8.0,8.0,8.0
10917,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7625,32.0,7.5,0.0,7.5,7.0,7.0,7.0,0.0,0.0
14565,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10226,90.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437,42.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0
8107,3.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,9.0
15480,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9863,20.0,10.0,0.0,0.0,22.0,14.0,14.0,0.0,0.0
13494,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10045,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13537,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8709,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
10636,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12669,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13169,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10926,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1726,42.0,85.0,85.0,85.0,85.0,42.5,42.5,42.5,42.5
13866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11595,30.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15452,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9863,20.0,10.0,0.0,0.0,22.0,14.0,14.0,0.0,0.0
6250,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1057,0.0,0.0,10.0,10.0,25.0,25.0,12.1,12.0,12.0
9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20538,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10214,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
