playerId,match,inning,balls,runs,wicket,best bowling in match,eco,average,5w,10w
1413,260,48,641,665,4,15 / 1,6.22,166.25,0,0
7662,118,93,2960,2778,53,46 / 4,5.63,52.42,0,0
10808,4,4,216,169,5,29 / 3,4.69,33.8,0,0
8271,,,,,,,,,,
2258,,,,,,,,,,
13940,,,,,,,,,,
13217,,,,,,,,,,
2195,5,1,6,10,0,010 / 1,10,0,0,0
9647,63,58,2530,2364,57,31 / 3,5.61,41.47,0,0
10738,83,79,4241,2947,158,18 / 7,4.17,18.65,4,0
11808,,,,,,,,,,
8733,,,,,,,,,,
8989,49,45,1518,1541,34,16 / 3,6.09,45.32,0,0
14659,,,,,,,,,,
