playerId,basePrice,playerName,country,role,cappedStatus,countryId,isPlayerOverseas,
15749,20.0 L,Yudhvir Singh Charak,India,Allrounder,UNCAPPED,2,,
8198,20.0 L,Baba Aparajith,India,Allrounder,UNCAPPED,2,,
14168,20.0 L,Prayas Barman,India,Allrounder,UNCAPPED,2,,
10974,20.0 L,Naushad Shaikh,India,Batter,UNCAPPED,2,,
8647,20.0 L,Alex Ross,Australia,Batter,UNCAPPED,4,TRUE,
10322,20.0 L,Shubham Rohilla,India,Batter,UNCAPPED,2,,
14656,20.0 L,Yash Nahar,India,Batter,UNCAPPED,2,,
551,20.0 L,Tanmay Mishra,India,Batter,UNCAPPED,2,,
12253,20.0 L,Rohan Kunnummal,India,Batter,UNCAPPED,2,,
1855,20.0 L,Ishank Jaggi,India,Batter,UNCAPPED,2,,
14467,20.0 L,Qamran Iqbal,India,Batter,UNCAPPED,2,,
2257,50.0 L,Neil Wagner,New Zealand,Bowler,CAPPED,13,TRUE,
15817,50.0 L,Jayden Seales,West Indies,Bowler,CAPPED,10,TRUE,
11128,50.0 L,Joshua Little,Ireland,Bowler,CAPPED,27,TRUE,
13791,50.0 L,Shoriful Islam,Bangladesh,Bowler,CAPPED,6,TRUE,
24301,20.0 L,Prerit Dutta,India,Allrounder,UNCAPPED,2,,
14383,20.0 L,Arpit Guleria,India,Bowler,UNCAPPED,2,,
15620,20.0 L,Vipul Krishna,India,Bowler,UNCAPPED,2,,
14451,20.0 L,Safvan Patel,India,Bowler,UNCAPPED,2,,
8676,75.0 L,Todd Astle,New Zealand,Bowler,CAPPED,13,TRUE,
8483,50.0 L,Akila Dananjaya,Sri Lanka,Bowler,CAPPED,5,TRUE,
8116,50.0 L,Kusal Perera,Sri Lanka,WK-Batter,CAPPED,5,TRUE,
9494,50.0 L,Kusal Mendis,Sri Lanka,WK-Batter,CAPPED,5,TRUE,
7884,50.0 L,Niroshan Dickwella,Sri Lanka,WK-Batter,CAPPED,5,TRUE,
8540,50.0 L,Liton Das,Bangladesh,WK-Batter,CAPPED,6,TRUE,
8375,50.0 L,Najibullah Zadran,Afghanistan,Batter,CAPPED,96,TRUE,
11450,40.0 L,Ali Khan,United States,Bowler,CAPPED,15,TRUE,
15481,20.0 L,Kartikeya Kak,India,Bowler,UNCAPPED,2,,
8190,20.0 L,Aniket Choudhary,India,Bowler,UNCAPPED,2,,
9620,20.0 L,Cheepurapalli Stephen,India,Bowler,UNCAPPED,2,,
11971,20.0 L,Siddhesh Wath,India,WK-Batter,UNCAPPED,2,,
