player_id,Mat,Inn,Runs,Avg,SR,HS,NO,100s,50s,4s,6s
7869,9,9,206,22.89,159.69,43,0,0,0,16,13
10214,12,10,234,29.25,163.64,44,2,0,0,22,12
11215,6,6,51,17.0,115.91,25,3,0,0,1,5
22601,2,2,11,5.5,78.57,11,0,0,0,1,0
8616,32,21,190,21.11,108.57,25,12,0,0,17,6
9554,3,3,22,11.0,91.67,12,1,0,0,2,0
14336,7,1,0,0.0,0.0,0,1,0,0,0,0
11221,7,1,8,8.0,160.0,8,0,0,0,0,1
12639,1,-,-,-,-,-,-,-,-,-,-
10353,11,5,24,8.0,114.29,12,2,0,0,0,2
10713,2,2,33,16.5,75.0,17,0,0,0,1,0
12669,5,5,67,13.4,113.56,34,0,0,0,7,2
11172,-,-,-,-,-,-,-,-,-,-,-
14726,5,1,0,0.0,0.0,0,0,0,0,0,0
6592,7,2,18,9.0,60.0,18,0,0,0,3,0
9582,20,18,527,40.54,134.1,68,5,0,3,37,23
19027,17,4,4,4.0,50.0,3,3,0,0,0,0
13646,3,3,58,29.0,141.46,26,1,0,0,2,5
8136,3,3,22,7.33,122.22,14,0,0,0,1,2
